src_LOGCode,nbr_LOGCode,src_Avg_Buiding_Size,nbr_Avg_Buiding_Size,src_Inventory,nbr_Inventory,LENGTH,NODE_COUNT
LOG-LOSA-32,LOG-LOSA-43,155291,53203,3571694,53203,1.20E-05,0
LOG-LOSA-32,LOG-LOSA-67,155291,92637,3571694,1019005,0.03454618,0
LOG-LOSA-32,LOG-LOSA-78,155291,94613,3571694,5582183,0,5
LOG-LOSA-34,LOG-LOSA-03,51335,65760,718692,1512491,0.052246979,0
LOG-LOSA-34,LOG-LOSA-64,51335,70652,718692,8336927,0.081855457,0
LOG-LOSA-36,LOG-LOSA-15,117546,37320,10461584,186599,0.013867079,0
LOG-LOSA-36,LOG-LOSA-23,117546,41752,10461584,167009,0.040675476,0
LOG-LOSA-36,LOG-LOSA-45,117546,126731,10461584,6970222,0,2
LOG-LOSA-36,LOG-LOSA-50,117546,113999,10461584,7979936,0,2
LOG-LOSA-36,LOG-LOSA-74,117546,170074,10461584,3061331,0.009836439,0
LOG-LOSA-37,LOG-LOSA-46,28276,108129,56552,3568271,0,2
LOG-LOSA-37,LOG-LOSA-65,28276,0,56552,0,0.05825475,0
LOG-LOSA-37,LOG-LOSA-66,28276,67578,56552,202734,0.017305382,0
LOG-LOSA-37,LOG-LOSA-89,28276,0,56552,0,0,6
LOG-LOSA-39,LOG-LOSA-41,67994,66759,747930,600833,0,2
LOG-LOSA-39,LOG-LOSA-83,67994,150126,747930,14862476,0.014191092,0
LOG-LOSA-40,LOG-LOSA-43,104891,53203,1573359,53203,0.077187464,0
LOG-LOSA-41,LOG-LOSA-29,66759,204209,600833,612626,0.000944013,0
LOG-LOSA-41,LOG-LOSA-40,66759,104891,600833,1573359,0.01818004,0
LOG-LOSA-41,LOG-LOSA-43,66759,53203,600833,53203,0.008786766,0
LOG-LOSA-44,LOG-LOSA-22,46084,67888,553005,475214,0.039225222,0
LOG-LOSA-44,LOG-LOSA-65,46084,0,553005,0,0.017098228,0
LOG-LOSA-45,LOG-LOSA-78,126731,94613,6970222,5582183,0.010786506,0
LOG-LOSA-46,LOG-LOSA-04,108129,79351,3568271,317405,0,2
LOG-LOSA-46,LOG-LOSA-63,108129,104890,3568271,2307581,0,5
LOG-LOSA-46,LOG-LOSA-89,108129,0,3568271,0,0,4
LOG-LOSA-47,LOG-LOSA-03,70175,65760,771929,1512491,0.038632728,0
LOG-LOSA-47,LOG-LOSA-79,70175,118934,771929,14509976,0.065492514,0
LOG-LOSA-48,LOG-LOSA-04,88739,79351,6655435,317405,0.005683395,0
